Content,score,VADER_Sentiment,Sentiment
app really good thing actually pretty much better app thing didnt like cant hide like everyone see reel liked ig option showing hiding like,4,Positive,Positive
coll paroblam,5,Neutral,Neutral
good service,5,Positive,Positive
please optimize app samsung galaxy fold 7 foldables,1,Positive,Neutral
nice place time pas,5,Positive,Positive
meri reel viral krdo jo aaj dali hai 5star rate krdiya hai tumko,5,Neutral,Neutral
awesome,5,Positive,Positive
ad nothing ad,1,Neutral,Neutral
create group chat slows request developer provide faster service,4,Positive,Neutral
instagram helpful plateform time pas plateform chatting seting mast,5,Positive,Neutral
uninstalled,1,Neutral,Neutral
cant update app,1,Neutral,Neutral
fantastic,5,Positive,Positive
best app found play store instagram loved good uploading story many glitch faced uploading story please fix,4,Positive,Positive
thes nice app reel nice,5,Positive,Positive
perfect,5,Positive,Positive
bhai a1 app aahe hi,5,Neutral,Neutral
thank,5,Positive,Neutral
great experience,5,Positive,Positive
always enjoyed using instagram account everything easy use,5,Positive,Positive
new experience free life,5,Positive,Positive
782774 27 ok e zz xx xx zz xx zz xx tzc s cc x xx,4,Positive,Positive
creating named account,1,Positive,Neutral
mast hai,5,Neutral,Neutral
amazing editing like,5,Positive,Positive
dommetiran,1,Neutral,Neutral
instagram give best performance sometimes toubles opening posting please support side,5,Positive,Positive
prefer old instagram since bought app junk,1,Neutral,Neutral
weast app,5,Neutral,Neutral
insta helpful platform doesnt work neat clean tablet version feature missing reel missing tablet version stedy doesnt support somethings,2,Negative,Neutral
good amazing app love,5,Positive,Positive
amazing app,5,Positive,Positive
well enjoy much,4,Positive,Positive
story problem uploading solved fast,1,Negative,Positive
dear instgram team im problem went open instagram account show sorry couldnt complete request track later moment still follow community guideline please fix problem,1,Negative,Neutral
wonderful app useful daily work,5,Positive,Positive
thanku,5,Neutral,Neutral
kya bete aur bta kaisa hai,1,Neutral,Neutral
changed phone im able login account ive trying since 2 day easily login im old phone new say incorrect password changed,1,Positive,Positive
didnt showing pause option reel bad,5,Negative,Negative
compressed video uploads version instagram way worse version iphones creator cant android,1,Negative,Negative
please make page grow quickly,5,Positive,Positive
addiction,5,Neutral,Neutral
good intrested,5,Positive,Positive
good,5,Positive,Positive
cant log acc tap reset password sends mail click say something went wrong try log acc pas say incorrect pas pas correct put put another phone log whats wrong guy personal issue try reset pas putting phone give every id instead main id want recover whyyyyyyyy,1,Negative,Negative
application amazing,5,Positive,Positive
follow new profile,5,Neutral,Positive
wasnt bad experience,5,Positive,Negative
instagram many issue beyond shoehorning reel great photo platform,5,Positive,Positive
best app world give fun board see instagram best app use app entertainment love app,5,Positive,Positive
need viral,1,Neutral,Neutral
bhaut bhadiya hai,5,Neutral,Neutral
instagram change life bounce gift option,5,Positive,Neutral
mere instagram mein like live nahin ho raha hai,5,Positive,Negative
zor 4k ga oz qoldim alhamdurillah,5,Neutral,Neutral
pls update id id updated new update id,4,Positive,Positive
im unable choose audio public used user also im unable see full follow request stop around 20 people,1,Negative,Negative
adipoli,5,Neutral,Neutral
thank yrr aap ke wajah se pata chal ki indian payri ladki bhi hai,5,Positive,Neutral
network issue h bahot jayada,1,Neutral,Neutral
nice enjoy,5,Positive,Positive
best,4,Positive,Positive
scam effort exposed nobody follows money making app worst social shitwork ever like another everyone especial mediocricy dilutes real talent,1,Negative,Negative
plz fix bug seeing story,1,Positive,Neutral
lajwaab,5,Neutral,Neutral
good,5,Positive,Positive
best apk,5,Positive,Positive
good result,5,Positive,Positive
many ad ad break,2,Neutral,Positive
id login problem,1,Negative,Neutral
stop reel watching,1,Negative,Neutral
mera instagram downloading nahin hota hai,1,Neutral,Neutral
superb learn thing instagram,5,Positive,Positive
superb love instgram always,5,Positive,Positive
thank,5,Positive,Neutral
convenient use,5,Neutral,Neutral
new map update ig wont allow login app super frustrating ive changed password yet still get recaptcha puzzle verify identity still get forced personal account account hacked still access business account us password better instagram unacceptable,2,Negative,Neutral
instagram awesome,5,Positive,Positive
amazing social app,5,Positive,Positive
hello instagram team last 12 day many user facing problem instagram please solved problem,5,Negative,Positive
caption neededann data,5,Neutral,Neutral
instagram cant sent code,1,Neutral,Neutral
plz mujhe koii karo,1,Positive,Neutral
insta good aap good reel upload palyedfarm good responesreels aap time good aap,5,Positive,Positive
horribly optimised compared io counterpart extremely buggy,1,Negative,Negative
