Content,score,VADER_Sentiment
poor tv integration app issue fetching data actually required trade apps developer failed understand could would give app negative star rating,1,Negative
delivery margin use day difficult,1,Negative
fast suport,5,Neutral
nice easy,5,Positive
prompt courteous sale service prompt response query dedicated executive,5,Positive
best experience best demat platform trading also economical charge,5,Positive
feel frustrated using app,1,Negative
please buy sell qty percentage add symbol,1,Positive
highest charge average quality,1,Neutral
much useful timely helpfulthanks lot,5,Positive
one describes pathetic indian trading system running zerodha kite console even required much apps lunatic broker like zerodha even touch capital charge also ha ha ha wow stealing thinking self sophisticated brokerage world option placing stop loss easily visible take profit simply rule way stealing money,1,Positive
get duplicate error create 100 alert option delete watch list application,1,Positive
costly,1,Negative
awesome every aspect thank team zerodha,5,Positive
good app investing,5,Positive
chart custom periodicity allows enter upto 3 digit minute believe enhanced example want see 2 day chart frame 2 day chart frame cant kite,3,Positive
able square position carry forwardedi called support deskhe behaving like buffalo suck,1,Positive
share market app good functionality fast neat,5,Positive
someone trade intraday price dropped big level zerodha app web hang upstox groww app best new trader,1,Positive
good website tool trade,5,Positive
kite solid app longterm investing fast clean easy use integration coin make direct mutual fund investment super convenient console give great insight portfolio performance tax perfect anyone serious building wealth time simple easy use beginner,5,Positive
support team clarified query detail team good ccoperative thanks,5,Positive
working wanted sellworst experience,5,Neutral
happy,5,Positive
best app trader noob go groww,5,Positive
nice support,5,Positive
excellent service simplified app mess,5,Positive
view chart option changed location please make available share name price would feasible everyone,1,Positive
1 difficult understand instant withdrawal policy always error pop requesting instant withdrawal well prescribed time frame well 2 dont display detail interest mtf stock everyday total amount charged make taking decision stock sellhold difficult expected transparency interest charged per stock hopelessly youll take constructive feedback platform,3,Negative
much user friendly brokering apps,5,Positive
dear team zerodha pls remove feature exit market price holding stock section someone want sale stock price wrongly hit exit market price tabnewly added feature tab option right exit tab unwanted loss occurs happens didnt wanted sale stock market price wrongly hit newly added tab stock sold market price,4,Neutral
bad service nowadays making huge loss client,1,Negative
frequently im facing problem excess fundamental section kite mobile app even updating appcrome android system webview show freez screen opt navigate fundamental tab,2,Negative
like,5,Positive
unch nch,1,Neutral
5 star doctor trader,5,Neutral
zerodha progressing coming feature mobile app barebones would like see attention design mobile app dhan much better,1,Positive
best broker app,5,Positive
take profit sl feature commodity option need pnl price alert notification feature helpful multiple position opened time problem monitoring hassle missing key moment resulting lost profit incurring big loss cant monitor time feature help lot like pnl position reach 5 loss profit example get alert notification thank please add feature zerodha team,4,Positive
best,5,Positive
pl widget work always show zero fix asap,1,Neutral
good platform,5,Positive
app irritating app want buy stock get quickly want sell stock asking cdsl ddpi method also agreed showing invalid otp tpin really irritating,2,Negative
worst app groww far better app,1,Negative
earning much amount brokerage atleast provide u feature bar replay tradingview integration please consider feedback improve execution lag happens often option premium chart,1,Positive
option chain need information used since 2019 really impressed sevice trading app mainly need service convenience time zerodha provide properly charge little bit higher charged full transparent way many broker shown technical glitch zerodha much better huge customer base,4,Positive
could make kite coin one application also could include feature including fixed deposit kite,4,Neutral
easy use nice app,5,Positive
easy use app excellent customer support best among apps,5,Positive
overall gud add trade chart mobile app,4,Neutral
till date fine,5,Positive
could please add etf option filter holding section see stock except etf portfolio currently 3 option equity mutual fund,3,Positive
spoiled chart experience mobile application since zerodha updated trading view chart became headache use chart properly using mobile humble request bring back old trading view chart cant understand weather upgrading downgrading chart experience,1,Neutral
superb good guidence,5,Positive
excellent service,5,Positive
great best broker platform season reason,5,Positive
call taken try resolve query best,4,Positive
overall good app tradingbut glitch feeling time stock chart open time laggy finally seen error errorand time laggs please solve issue othervise good app trading,4,Positive
new upadate awesome one thing view chart option moved center left inconvenient pls interchange option chart view chart option,5,Positive
zerodha app great ui fast providing smooth user experience overall however newly added native option chain feature lagging quite bit opening option chain index take time load feel slow please fix issue soon enhance trading experience even,4,Positive
good experience zerodha thanks,5,Positive
fix lag issue app showing real timelive price chart,1,Negative
account wf2128i purchased retirement fund 2021 closed account kept retirement fund holding demat mode per hdfc mutual fund house cannot consoldate switch fund zerodha showing intrest helping please avoid broker thinking reporting matter sebi,1,Positive
poor ivr customer service take time speak customer representative,1,Negative
fundamental option open,3,Neutral
using zerodha paying regular brokerage annual maintenance charge however repeatedly faced critical issue resulted financial loss despite placing limit order specific price zerodha often executed market price leading unexpected loss recently clearly set limit sell order sold market price causing significant loss sadly onetime error happened multiple time past,1,Negative
poor work properly low indicatorschart fundamental working updating,1,Negative
superb app service zerodha,5,Positive
response request quick received requested document within hour satisfied service zerodha team hope receive attention future thanks,5,Positive
happy zerodha remove amc great,4,Positive
wish could post conversation zerodha support team price oscillating range 1010 ui show market price cant set sl order considers market price according verified ltp ltt asked give data dont data get authorised vendor theyre instead understanding ui problem useless team make tall claim pathetic people app,1,Negative
please add watchlist feature available website,3,Positive
best aap investment,5,Positive
new update good buy sell feature good provide slide buy sell,1,Positive
best interface good support team,5,Positive
good betterthan groww,5,Positive
high many charge every week,1,Neutral
worst appvery difficult se p n l difficult exit trade right time order placed sensibull directly,1,Negative
fundamental section technical section application working kindly fix issue soon possible,2,Positive
v good service,5,Positive
best app stock investment,5,Positive
understand customer requirement well provided correct document time sealed signed thanks zerodha provider still clueless requirement,5,Positive
update really awesome especially option chain segment zerodha rock,5,Positive
option trader maine bus detail set kr ke rakh diya execute nhi kiya tha apna phone thodi der ke liye aisi hi chor ke gya aya pta lg raha hai apne aap execute ho gya mera 13000 ka loss ho gya ye mere saath ek baar nhi hua hai pahli baar lga shayad mai hi execute kr diya hoga jab dobara aisa hua samjh gya apne aap hota hai ye specially expiry wale din jyada hota hai,1,Negative
feature good problem occurring frequently showing chart fundamental stock even app fully updated popular platform like grow angel one perform better regard,2,Positive
best trading app ever used,5,Positive
latest app version fundamental technical section doesnt open show internal server errorpls resolve,3,Positive
good,5,Positive
hi zerodha day almost every broker offering fd investment small finance bank directly platform useful feature investor want better return safety request also start providing option zerodha make thing much convenient user like hope consider soon,5,Positive
hassle free user friendly along excellent customer support,5,Positive
significant improvement stability recently launched option chainbut see even non fno stock click know non fno old app definitely pathbreaking time lost mojo many restriction buy stock type order dont work appropriately sometimescalculations dont show correct sometimes order book server sometimeswith many user addedit seems coping well change,3,Positive
new option chain feature ui clearly visible left right oi lakh proper margin padding standard device like samsung m12 please improve experience,4,Positive
amazing app quick customer support keep zerodha,5,Positive
give full potential trading view,4,Neutral
dont like latest option chain update,1,Negative
using kite year observed market opening session zerodha kite freeze take much time open chart option chain seems kite cant handle market opening volatility chart pause plz save hard earned money smallest glitch zerodha make money zero,1,Positive
many day waiting zerodha provides direct option chain still need updation like stock scanner multiple chart etc request provide soon basis,3,Positive
number 1 brokar app,5,Positive
ive using trading app genuinely impressed interface clean userfriendly making easy even beginner navigate placing order tracking investment analyzing trend straightforward smooth whether youre new trading experienced app simplifies entire process without compromising feature main advantage zero brokerage highly recommended anyone looking hasslefree trading experience,5,Positive
good appcan also option share average price calculator,2,Positive
good support zerodha friendly app,5,Positive
zirodha realy tata level company take care costomers give right sugetions,5,Positive
good logical,5,Positive
zerodha support executive expain querries detail good job,5,Positive
login working long process,1,Neutral
underrated app ad upgrade nudge stupid notification random feature stable intuitive way wish would revamp coin app improve integration,5,Positive
using kite long back ago seggestion think especially option trading market first add nifty watchlist open comedown see option chain open select strike add wath list want see chart strike comeback watchlist open chart buysell time price moment navigation take lot time please make user friendly edit finally thanks fo update,5,Positive
hang lot,4,Neutral
vry nice app,5,Positive
good going,5,Positive
user friendly easy use interface happy join,5,Positive
good till,5,Positive
remove app code feature website completely unnecessary useless otherwise 5 star,3,Negative
problem solve,5,Negative
best product,5,Positive
worst app charged unusual,1,Negative
worst support namaste withdraw system,1,Negative
nice platform easy use,5,Positive
uiux top notch,5,Positive
worst support mislead trader showing wrong data maintained proper record,1,Negative
highly requested increase number maximum instrument symbol upto 500 1000 watchlist filter bunch stock simultaneously hope zerodha consider request suggestion,4,Positive
bad experience zerodha destroyed 4 year zerodha cheater company,1,Negative
zerodha best,5,Positive
one best service provider,5,Positive
nice apps,4,Positive
ease use excellent,5,Positive
please add cost per lot option chain kite app,4,Positive
zerodha kite offer clean fast intuitive trading platform excellent beginner experienced trader powerful charting zero brokerage equity delivery major highlight,4,Positive
im receiving alert even though alert triggered app,3,Positive
account maintenance charge high,1,Neutral
really good,5,Positive
best beginner,5,Positive
nice work,5,Positive
please add support theme icon,3,Positive
zerodha aur uske karmchari bahut hi acche hai,5,Neutral
first experience happy,5,Positive
thanx,5,Neutral
guess best trading,5,Positive
floating window mode working since two update option greek update amazing,5,Positive
request feature 1 option add custom message display alert triggered 2add watch list grouping available web page android app 3 option display gtt value note portfolio listwatch list,4,Positive
bad service stock update service faster,1,Negative
multi device loginworst,4,Neutral
zerodha good helpful easy trade many amazing feature one much learn market zerodha varsity customer care supportive,5,Positive
worst service open account signature everything ok suddenly charge amc process closer customer service officer didnt listen call raise ticket even issue raise ticket closer time almost painful experience closer levied charge close request go offline demat person person base listen act even dont find office bangalore advisable umang,1,Negative
nice sarvice,5,Positive
want say intuitive well optimized used many trading apps like one others thank much making available,5,Positive
excellent app great ui minimum permission,5,Positive
super low commision excellent good,5,Positive
best app stock trading delivery,5,Positive
ontime reply superb support support team thank much murali mohan,5,Positive
excellent platform invest equity good user interface excellent customer support,5,Positive
one best app trading,4,Positive
nice aap,4,Positive
full area view web platform countdown bar close working properly,3,Neutral
best app trading investment,5,Positive
pathetic servicedis resolved query,1,Negative
minor age 2 year open account,3,Neutral
nice support,5,Positive
bad experience kite chart taken long time loding miss ur apportunity,1,Negative
promt action taken given suggestion useful thank sir,5,Positive
ridiculous amount hidden charge half profit zerodha take,1,Positive
okay okay experience,3,Positive
good app,5,Positive
fundamental open nahi ho raha hai,3,Neutral
awesome app,5,Positive
good tamil customer care,5,Positive
superb app,5,Positive
1 every watchlist add logo company logo please provide full name proper name stock 2 place short name native name like infy first logo stock name infosys infy many many thanks option chain done great work one thing add top gainer loser section fno stock b great,3,Positive
app work proper,5,Neutral
hii zerodhaevery day give u money u dont every day open u happiness u send back unhappyall day come one mindset going multiplei know faultbut last thing want say please help win life,5,Positive
great user experience easy use beginner,5,Positive
19 july 2025 app chart opening kite app,1,Neutral
noticed chart preference saving error occurred saving chart paying brokerage annual maintenance charge limit chart preference saving dont give proper service,1,Negative
initial experience app disappointing even providing detail unable signuplogin use app start investing new investing used quite platfotms never faced much difficulty app far sure want use app anymore balasundar,1,Positive
overall best broker app treding two thing need improved 1 limited drawing capacity like trend line rectangle box support resistance etc limit cross line save unlimited save automatically 2 application open since pre market opening 915 thereafter facing issue first cadles showing required close application refresh chart improve,4,Positive
provide support share stuck making loss update month money stuck closing support ticket without providing proper support need hire lawyer sue company using platform worst decision took recently,2,Neutral
third class application,1,Neutral
please add feature automatic trailing stop loss target feature like every broker feature along open high open low feature,2,Negative
fantastic,5,Positive
good experience,5,Positive
systematically helped work,5,Neutral
best software ever amazingly fast user friendly,5,Positive
feature come extension stockname single watchlist currently add 100 stock warchlist zerodha tell aprrox time fix feuture,4,Neutral
nice trade work time time update,5,Positive
best app trading,5,Positive
happy zerodha support kite web app,5,Positive
zerodha new trader beginner simple interface like groww app zerodha app best pro trader ye app kabhi kabhi position exit nahi karta hai,4,Positive
candle count set target stoploss overnight possition intraday one thing zerodha must add right click trend line alert trend line alert like treading view nice treading view trendline alert feature zerodha,1,Positive
everything perfect awesome problem saw portfolio analysis present kite app available console beta version case competer app depth analysis hope come kite,5,Positive
amazing,5,Positive
disappoint app apply every time setup another day erase automatically please fixed one setup permanent hope update,2,Positive
please add zerodha capital zerodha kite cnsole,3,Positive
good customer support,5,Positive
required paper trading virtual trading learning,3,Neutral
kite coin user friendly low cost seamless thanks,5,Positive
excellent work app,5,Positive
best trading investment app,5,Positive
best thing zerodha kite dont want permission phone except notification,5,Positive
unable login certificate showing error,1,Negative
required fast accurate update per market movement,4,Neutral
good customer service easy trade app market,5,Positive
thank much,5,Positive
namskar ji hello sir madam watch list 7 se 10 kar ji please,5,Positive
hello sir investor trader past 4 year investing stock using platform would like expand investment foreign stock invest foreign stock using kite app,5,Positive
excellent experience,5,Positive
zerodha mobile app main chart pe buy sell update kab aayega please bataye jaldi update de jise trading karne main aasani ho,4,Positive
india best trading app best broker indian share market,5,Positive
cool thanks,5,Positive
excellent communication,5,Positive
bit confusing ui tutorial helpful support team knowledgeable,5,Positive
apps ui ux minimal please consider hiring ui designer flipkart groww team,1,Positive
using zerodha kite 2 year overall experience excellent app smooth reliable userfriendly one suggestion though open chart fullscreen popout mode access watchlist manually search instrument every time watchlist could also shown fullscreen mode would make switching chart much seamless otherwise great app trading investing,4,Positive
zerodha ki support executive bahut acche hain bahut hi tarike se aur pyar se baat karte hain main zerodha mein account khulva kar khush hun,5,Positive
good app invested current value holding showing holding tab apps like groww also sorting filter get reset every time open app,4,Positive
nice good service zzzzz,5,Positive
superinterface also drag drop sahi appno one beat u please respond also work,5,Negative
love new option chain experience,5,Positive
dull app,1,Negative
good app beginner lowest broakage app clean ui interface customer care service good,5,Positive
latest update trash confirming order double confirming order meantime price moved cant keep simple like earlier sell button clicked order placed sometimes making something good make worse,2,Negative
nice experience talking,5,Positive
earlier difficult raise ticket recent update made even difficult raise ticket ive long term investor zerodha client 3 year thought would consider request make easy raise ticket face problem ruined everything,2,Negative
nice update zerodha walo,5,Positive
worst app ever used worst customer care experience instant withdrawal show working properly,1,Negative
best broker indiai used maximum broker last return back zerodha,5,Positive
one best,5,Positive
nice working,5,Positive
hi zerodha team please add cpr indicator beginner trader,5,Positive
beautiful,5,Positive
kite great would amazing could buy small part expensive share fractional share would make investing easier everyone,5,Positive
poor customer care understanding query english kamat hire third grade cheap employee including developer nothing replying customer playstore,1,Neutral
really great experience customer support,5,Positive
around 10 month youve implemented auto theme change,5,Neutral
fundamental show stock app continuously show time error latest update,1,Negative
really really good support,5,Positive
please give large view chart touch area new update difficult operate view chart smartphones,1,Negative
great one please add 52w high low bar also add high low bar web version preset mobile preset available,5,Positive
best indian budget broker,5,Positive
good respond customer care minor account open son zerodha,1,Positive
nice superb app easy convenient user interface,5,Positive
awsome application trading,5,Neutral
great experience,4,Positive
helpful,5,Positive
zerodha good app customer service good,5,Positive
zerodha kite topnotch trading app india known speed userfriendly interface advanced feature,5,Positive
watchlist working ira showing marketwatch found,1,Neutral
v good,5,Positive
best experience,5,Positive
amazing service,5,Positive
great app,5,Positive
good service,5,Positive
baki sab kuch theek hai lekin app brokerage mein gadbad karte hai,2,Neutral
good update option chain provide basket facility option chain analysis,5,Positive
app simply dont sent oatp time pick hour tried 19 time time take 15 min get otpmy security guard faster otp simply frustrating,1,Negative
great service,5,Positive
recent update technical working properly fix issue soon possible thank,1,Positive
good work form zerodha app,5,Positive
tap fundamental option open,1,Neutral
exceptional,5,Neutral
accha hai,4,Neutral
