Content,score
fundamental section technical section application working kindly fix issue soon possible,2
v good service,5
best app stock investment,5
understand customer requirement well provided correct document time sealed signed thanks zerodha provider still clueless requirement,5
update really awesome especially option chain segment zerodha rock,5
option trader maine bus detail set kr ke rakh diya execute nhi kiya tha apna phone thodi der ke liye aisi hi chor ke gya aya pta lg raha hai apne aap execute ho gya mera 13000 ka loss ho gya ye mere saath ek baar nhi hua hai pahli baar lga shayad mai hi execute kr diya hoga jab dobara aisa hua samjh gya apne aap hota hai ye specially expiry wale din jyada hota hai,1
feature good problem occurring frequently showing chart fundamental stock even app fully updated popular platform like grow angel one perform better regard,2
best trading app ever used,5
latest app version fundamental technical section doesnt open show internal server errorpls resolve,3
good,5
hi zerodha day almost every broker offering fd investment small finance bank directly platform useful feature investor want better return safety request also start providing option zerodha make thing much convenient user like hope consider soon,5
hassle free user friendly along excellent customer support,5
significant improvement stability recently launched option chainbut see even non fno stock click know non fno old app definitely pathbreaking time lost mojo many restriction buy stock type order dont work appropriately sometimescalculations dont show correct sometimes order book server sometimeswith many user addedit seems coping well change,3
new option chain feature ui clearly visible left right oi lakh proper margin padding standard device like samsung m12 please improve experience,4
amazing app quick customer support keep zerodha,5
give full potential trading view,4
dont like latest option chain update,1
using kite year observed market opening session zerodha kite freeze take much time open chart option chain seems kite cant handle market opening volatility chart pause plz save hard earned money smallest glitch zerodha make money zero,1
many day waiting zerodha provides direct option chain still need updation like stock scanner multiple chart etc request provide soon basis,3
number 1 brokar app,5
ive using trading app genuinely impressed interface clean userfriendly making easy even beginner navigate placing order tracking investment analyzing trend straightforward smooth whether youre new trading experienced app simplifies entire process without compromising feature main advantage zero brokerage highly recommended anyone looking hasslefree trading experience,5
good appcan also option share average price calculator,2
good support zerodha friendly app,5
zirodha realy tata level company take care costomers give right sugetions,5
good logical,5
zerodha support executive expain querries detail good job,5
login working long process,1
underrated app ad upgrade nudge stupid notification random feature stable intuitive way wish would revamp coin app improve integration,5
using kite long back ago seggestion think especially option trading market first add nifty watchlist open comedown see option chain open select strike add wath list want see chart strike comeback watchlist open chart buysell time price moment navigation take lot time please make user friendly edit finally thanks fo update,5
hang lot,4
vry nice app,5
good going,5
user friendly easy use interface happy join,5
good till,5
remove app code feature website completely unnecessary useless otherwise 5 star,3
problem solve,5
best product,5
worst app charged unusual,1
worst support namaste withdraw system,1
nice platform easy use,5
uiux top notch,5
worst support mislead trader showing wrong data maintained proper record,1
highly requested increase number maximum instrument symbol upto 500 1000 watchlist filter bunch stock simultaneously hope zerodha consider request suggestion,4
bad experience zerodha destroyed 4 year zerodha cheater company,1
zerodha best,5
one best service provider,5
nice apps,4
ease use excellent,5
please add cost per lot option chain kite app,4
zerodha kite offer clean fast intuitive trading platform excellent beginner experienced trader powerful charting zero brokerage equity delivery major highlight,4
im receiving alert even though alert triggered app,3
account maintenance charge high,1
really good,5
best beginner,5
nice work,5
please add support theme icon,3
zerodha aur uske karmchari bahut hi acche hai,5
first experience happy,5
thanx,5
guess best trading,5
floating window mode working since two update option greek update amazing,5
request feature 1 option add custom message display alert triggered 2add watch list grouping available web page android app 3 option display gtt value note portfolio listwatch list,4
bad service stock update service faster,1
multi device loginworst,4
zerodha good helpful easy trade many amazing feature one much learn market zerodha varsity customer care supportive,5
worst service open account signature everything ok suddenly charge amc process closer customer service officer didnt listen call raise ticket even issue raise ticket closer time almost painful experience closer levied charge close request go offline demat person person base listen act even dont find office bangalore advisable umang,1
nice sarvice,5
want say intuitive well optimized used many trading apps like one others thank much making available,5
excellent app great ui minimum permission,5
super low commision excellent good,5
best app stock trading delivery,5
ontime reply superb support support team thank much murali mohan,5
excellent platform invest equity good user interface excellent customer support,5
one best app trading,4
nice aap,4
full area view web platform countdown bar close working properly,3
best app trading investment,5
pathetic servicedis resolved query,1
minor age 2 year open account,3
nice support,5
bad experience kite chart taken long time loding miss ur apportunity,1
promt action taken given suggestion useful thank sir,5
ridiculous amount hidden charge half profit zerodha take,1
okay okay experience,3
good app,5
fundamental open nahi ho raha hai,3
awesome app,5
good tamil customer care,5
superb app,5
1 every watchlist add logo company logo please provide full name proper name stock 2 place short name native name like infy first logo stock name infosys infy many many thanks option chain done great work one thing add top gainer loser section fno stock b great,3
app work proper,5
hii zerodhaevery day give u money u dont every day open u happiness u send back unhappyall day come one mindset going multiplei know faultbut last thing want say please help win life,5
great user experience easy use beginner,5
19 july 2025 app chart opening kite app,1
noticed chart preference saving error occurred saving chart paying brokerage annual maintenance charge limit chart preference saving dont give proper service,1
initial experience app disappointing even providing detail unable signuplogin use app start investing new investing used quite platfotms never faced much difficulty app far sure want use app anymore balasundar,1
overall best broker app treding two thing need improved 1 limited drawing capacity like trend line rectangle box support resistance etc limit cross line save unlimited save automatically 2 application open since pre market opening 915 thereafter facing issue first cadles showing required close application refresh chart improve,4
provide support share stuck making loss update month money stuck closing support ticket without providing proper support need hire lawyer sue company using platform worst decision took recently,2
third class application,1
please add feature automatic trailing stop loss target feature like every broker feature along open high open low feature,2
fantastic,5
good experience,5
systematically helped work,5
best software ever amazingly fast user friendly,5
feature come extension stockname single watchlist currently add 100 stock warchlist zerodha tell aprrox time fix feuture,4
nice trade work time time update,5
best app trading,5
happy zerodha support kite web app,5
zerodha new trader beginner simple interface like groww app zerodha app best pro trader ye app kabhi kabhi position exit nahi karta hai,4
candle count set target stoploss overnight possition intraday one thing zerodha must add right click trend line alert trend line alert like treading view nice treading view trendline alert feature zerodha,1
everything perfect awesome problem saw portfolio analysis present kite app available console beta version case competer app depth analysis hope come kite,5
amazing,5
disappoint app apply every time setup another day erase automatically please fixed one setup permanent hope update,2
please add zerodha capital zerodha kite cnsole,3
good customer support,5
required paper trading virtual trading learning,3
kite coin user friendly low cost seamless thanks,5
excellent work app,5
best trading investment app,5
best thing zerodha kite dont want permission phone except notification,5
unable login certificate showing error,1
required fast accurate update per market movement,4
good customer service easy trade app market,5
thank much,5
namskar ji hello sir madam watch list 7 se 10 kar ji please,5
hello sir investor trader past 4 year investing stock using platform would like expand investment foreign stock invest foreign stock using kite app,5
excellent experience,5
zerodha mobile app main chart pe buy sell update kab aayega please bataye jaldi update de jise trading karne main aasani ho,4
india best trading app best broker indian share market,5
cool thanks,5
excellent communication,5
bit confusing ui tutorial helpful support team knowledgeable,5
apps ui ux minimal please consider hiring ui designer flipkart groww team,1
using zerodha kite 2 year overall experience excellent app smooth reliable userfriendly one suggestion though open chart fullscreen popout mode access watchlist manually search instrument every time watchlist could also shown fullscreen mode would make switching chart much seamless otherwise great app trading investing,4
zerodha ki support executive bahut acche hain bahut hi tarike se aur pyar se baat karte hain main zerodha mein account khulva kar khush hun,5
good app invested current value holding showing holding tab apps like groww also sorting filter get reset every time open app,4
nice good service zzzzz,5
superinterface also drag drop sahi appno one beat u please respond also work,5
love new option chain experience,5
dull app,1
good app beginner lowest broakage app clean ui interface customer care service good,5
latest update trash confirming order double confirming order meantime price moved cant keep simple like earlier sell button clicked order placed sometimes making something good make worse,2
nice experience talking,5
earlier difficult raise ticket recent update made even difficult raise ticket ive long term investor zerodha client 3 year thought would consider request make easy raise ticket face problem ruined everything,2
nice update zerodha walo,5
worst app ever used worst customer care experience instant withdrawal show working properly,1
best broker indiai used maximum broker last return back zerodha,5
one best,5
nice working,5
hi zerodha team please add cpr indicator beginner trader,5
beautiful,5
kite great would amazing could buy small part expensive share fractional share would make investing easier everyone,5
poor customer care understanding query english kamat hire third grade cheap employee including developer nothing replying customer playstore,1
really great experience customer support,5
around 10 month youve implemented auto theme change,5
fundamental show stock app continuously show time error latest update,1
really really good support,5
please give large view chart touch area new update difficult operate view chart smartphones,1
great one please add 52w high low bar also add high low bar web version preset mobile preset available,5
best indian budget broker,5
good respond customer care minor account open son zerodha,1
nice superb app easy convenient user interface,5
awsome application trading,5
great experience,4
helpful,5
zerodha good app customer service good,5
zerodha kite topnotch trading app india known speed userfriendly interface advanced feature,5
watchlist working ira showing marketwatch found,1
v good,5
best experience,5
amazing service,5
great app,5
good service,5
baki sab kuch theek hai lekin app brokerage mein gadbad karte hai,2
good update option chain provide basket facility option chain analysis,5
app simply dont sent oatp time pick hour tried 19 time time take 15 min get otpmy security guard faster otp simply frustrating,1
great service,5
recent update technical working properly fix issue soon possible thank,1
good work form zerodha app,5
tap fundamental option open,1
exceptional,5
accha hai,4
